idx,k0,M,response_err
71,-4,2,0.978680652767179
72,0,2,0.8662197804340597
73,3,2,1.0033317720221628
74,1,2,0.9279610304608598
75,3,2,0.9436812579742284
76,4,2,0.8965700013109857
77,-3,2,1.1475816817882176
78,-4,2,1.0135345089256844
79,4,2,0.9631851872753009
80,-4,2,1.010425189981716
81,-4,2,0.9964237143484164
82,0,2,0.8891297430784171
83,3,2,1.0695762770590995
84,1,2,1.0095230792681225
85,-3,2,1.1400396314543344
86,3,2,1.0614783917359667
87,4,2,1.0527328129613827
88,-4,2,1.062155021336702
89,3,2,0.9461589963536687
90,-3,2,0.9590590384495813
91,-2,2,1.0096039871839044
92,4,2,1.006790230227296
93,-3,2,0.9076868068734879
94,3,2,1.0081995758468012
95,3,2,0.9392271697648491
96,-4,2,0.9575265110053572
97,3,2,0.9314766551663969
98,1,2,0.9016317588573168
99,0,2,0.8926677129940522
100,3,2,0.9930187071174675
101,3,2,1.0392318497832542
102,3,2,0.9467123460521681
103,4,2,1.1650221371808058
104,1,2,0.9477066773251894
105,4,2,1.021880665223294
106,4,2,0.9937513498881743
107,3,2,1.0599510403666026
108,-1,2,0.998317010294133
109,-1,2,1.1345158032440759
110,1,2,0.8736166364711669
111,3,2,0.9862466205674524
112,-4,2,1.1025559316164721
113,4,2,0.9680860998077269
114,2,2,0.9678084257221562
115,0,2,0.9197142742437622
116,3,2,0.9742331799296049
117,0,2,0.8935095132053195
118,0,2,0.926404706918975
119,-3,2,0.9504841403559755
120,1,2,0.9127162645628015
121,-1,2,0.9245313056495933
122,1,2,0.9636851144634223
123,3,2,0.958390754806019
124,4,2,0.9617949195526817
125,-1,2,1.0718424218973863
126,-2,2,1.0136699405338032
127,4,2,0.9565470869001231
128,-3,2,1.090980906285735
129,2,2,0.9344949365937458
130,-3,2,0.9922569113985932
131,-1,2,0.8114235965197566
132,-2,2,1.0787057153098947
133,3,2,1.1516057959236303
134,-1,2,1.1577815310170538
135,0,2,0.9267374332918542
136,3,2,0.9918530195067979
137,-1,2,0.8235022701317491
138,-1,2,1.0944698538729265
139,-2,2,1.0272513807304748
140,0,2,0.8484295171527082
141,-3,2,1.1755640609832687
142,-3,2,1.0580826091851951
143,-4,2,1.0883203389631644
144,1,2,1.0017296204945216
145,-1,2,0.8150422296680468
146,0,2,0.9405219587096701
147,-1,2,0.9661719068038263
148,-2,2,1.0416433462040955
149,0,2,0.8718700936252499
150,-1,2,1.239134541628329
151,-1,2,1.0666860961679387
152,1,2,0.9904950353804356
153,1,2,0.9275538265448251
154,-1,2,1.1357327520689442
155,0,2,1.0049896466237673
156,-1,2,0.9889625082015449
157,2,2,1.0356540411658295
158,3,2,0.9715817602529995
159,2,2,0.9293910943543193
160,4,2,0.9926945357733588
161,2,2,0.9575628899361757
162,2,2,0.945123520548296
163,2,2,0.8631492114227487
164,1,2,0.9699352021972374
165,3,2,0.9243182856895643
166,-4,2,1.0386965507405639
167,3,2,0.9428268780776802
168,-4,2,0.9189064633130276
169,-4,2,1.0122596407261881
170,2,2,1.0945457113552075
171,-4,2,0.9368914415856259
172,-4,2,0.9264883967618572
173,3,2,1.0525588492317035
174,3,2,1.0640557199565268
175,2,2,1.0459740875059613
176,-2,2,0.9847270921987235
177,-4,2,1.0891822436303915
178,4,2,0.9665705309029133
179,2,2,0.9717709850145553
180,4,2,0.9194220483973976
181,1,2,0.9180290685105761
182,3,2,0.9374776404127607
183,0,2,1.0877139136563148
184,-2,2,1.10656980867869
185,1,2,1.0934529055369286
186,-3,2,1.0824824666470838
187,-1,2,1.162282194088837
188,0,2,0.8849769904817433
189,3,2,0.8911332648782929
190,3,2,1.0015024354035975
191,3,2,0.9697432227843616
192,-1,2,1.0463799080660052
193,3,2,1.0188115522092813
194,4,2,0.9787108890276282
195,4,2,0.9570961742287944
196,-2,2,1.030294977154002
197,2,2,0.9549625143979736
198,-2,2,0.9452422062275846
199,-1,2,1.018206437926833
0,4,4,0.6575533123115476
1,2,4,0.4654589741065889
2,-3,4,0.626758786455782
3,-2,4,0.4677796052785571
4,-3,4,0.5694463417319833
5,3,4,0.6047044140770039
6,0,4,0.46793754283896083
7,4,4,0.6293010064460904
8,-4,4,0.6513363187514156
9,3,4,0.5509617235130387
10,0,4,0.4441603026213869
11,-2,4,0.4807930993778344
12,4,4,0.744035895842789
13,0,4,0.459398801631021
14,-1,4,0.47029163404786284
15,0,4,0.4450403149248054
16,1,4,0.4441165832429963
17,-1,4,0.4575934604456413
18,-2,4,0.5599559468090931
19,-4,4,0.6468754671662075
20,-3,4,0.5585688812545351
21,2,4,0.48673772251811853
22,1,4,0.4522265653224572
23,1,4,0.47654878050302624
24,0,4,0.4410085697493895
25,3,4,0.6405195149733405
26,3,4,0.6277660697270876
27,1,4,0.4623019935358673
28,3,4,0.5566760034086349
29,3,4,0.56148827005137
30,0,4,0.5018886648162354
31,2,4,0.5320671585291609
32,-2,4,0.5025484270019847
33,4,4,0.6794761005511514
34,4,4,0.6406398253916116
35,2,4,0.5538778319670538
36,-2,4,0.5060761874079003
37,1,4,0.5313527844390188
38,-2,4,0.5189421168173656
39,4,4,0.7035994850489308
40,0,4,0.4255438974630151
41,0,4,0.433110571687506
42,2,4,0.5803395816188275
43,1,4,0.4981196491987056
44,-4,4,0.6831640358502514
45,4,4,0.6418896677450351
46,1,4,0.5174210545526172
47,-3,4,0.5844157172467572
48,-4,4,0.7021960602461619
49,0,4,0.44231416400096174
50,-1,4,0.5822055995630423
51,0,4,0.37318280344786486
