idx,k0,seed,M,arm,response_err
2,-3,1,12,retrain,0.3548633430213851
2,-3,1,12,clip,0.6456770348258036
2,-3,1,16,retrain,0.6027502356852082
2,-3,1,16,clip,0.6027502356852082
2,-3,2,2,retrain,1.0697206521418055
2,-3,2,2,clip,1.1599451712545876
2,-3,2,4,retrain,0.6508389809658299
2,-3,2,4,clip,1.1104788776977461
2,-3,2,8,retrain,0.2808667921429544
2,-3,2,8,clip,0.7356141301264735
2,-3,2,12,retrain,0.25886687651244317
2,-3,2,12,clip,0.6586087197074352
2,-3,2,16,retrain,0.6136154420615482
2,-3,2,16,clip,0.6136154420615482
3,-2,0,2,retrain,1.074938821379086
3,-2,0,2,clip,1.0591421759367887
3,-2,0,4,retrain,0.4320324129771293
3,-2,0,4,clip,0.9590429866530034
3,-2,0,8,retrain,0.19833826793690093
3,-2,0,8,clip,0.7467713074311606
3,-2,0,12,retrain,0.1964033595791627
3,-2,0,12,clip,0.6943194564760062
3,-2,0,16,retrain,0.6555953282073353
3,-2,0,16,clip,0.6555953282073353
3,-2,1,2,retrain,0.9114768509572129
3,-2,1,2,clip,1.0873871337715713
3,-2,1,4,retrain,0.5104145838033074
3,-2,1,4,clip,0.9828352968214885
3,-2,1,8,retrain,0.19027775640454814
3,-2,1,8,clip,0.7595823290776326
3,-2,1,12,retrain,0.25186022453209483
3,-2,1,12,clip,0.7134779267796189
3,-2,1,16,retrain,0.674320173337369
3,-2,1,16,clip,0.674320173337369
3,-2,2,2,retrain,1.061500655063507
3,-2,2,2,clip,1.0554525889689361
3,-2,2,4,retrain,0.49077881190401823
3,-2,2,4,clip,0.9696726405666072
3,-2,2,8,retrain,0.18073338449340906
3,-2,2,8,clip,0.7442479681893643
3,-2,2,12,retrain,0.18740747577599287
3,-2,2,12,clip,0.6876896120015227
3,-2,2,16,retrain,0.6514393232980003
3,-2,2,16,clip,0.6514393232980003
4,-3,0,2,retrain,0.9870456884938542
4,-3,0,2,clip,1.0626008994271325
4,-3,0,4,retrain,0.515416512053555
4,-3,0,4,clip,0.9713043199544379
4,-3,0,8,retrain,0.27806217965158425
4,-3,0,8,clip,0.7155723633636724
4,-3,0,12,retrain,0.23838248936871256
4,-3,0,12,clip,0.6181690492888505
4,-3,0,16,retrain,0.5627364731899561
4,-3,0,16,clip,0.5627364731899561
4,-3,1,2,retrain,0.8979687638493726
4,-3,1,2,clip,1.0888441161594367
4,-3,1,4,retrain,0.5392244186841989
4,-3,1,4,clip,1.014921277815684
4,-3,1,8,retrain,0.29139062573285573
4,-3,1,8,clip,0.7515777566742777
4,-3,1,12,retrain,0.276857760131156
4,-3,1,12,clip,0.6704158090484743
4,-3,1,16,retrain,0.6204883090403719
4,-3,1,16,clip,0.6204883090403719
4,-3,2,2,retrain,1.0561166160034607
4,-3,2,2,clip,1.0726510773401874
4,-3,2,4,retrain,0.578296256997493
4,-3,2,4,clip,1.005046907104638
4,-3,2,8,retrain,0.26032647649147267
4,-3,2,8,clip,0.73095209745206
4,-3,2,12,retrain,0.2531207032476531
4,-3,2,12,clip,0.6555063834340887
4,-3,2,16,retrain,0.6031350758741716
4,-3,2,16,clip,0.6031350758741716
5,3,0,2,retrain,0.9749789901660062
5,3,0,2,clip,1.1065141171410564
5,3,0,4,retrain,0.6151027712271878
5,3,0,4,clip,1.0468782040574476
5,3,0,8,retrain,0.29515217007738404
5,3,0,8,clip,0.7181831269529437
5,3,0,12,retrain,0.2956333565621736
5,3,0,12,clip,0.6024018883413708
5,3,0,16,retrain,0.5448756408745015
5,3,0,16,clip,0.5448756408745015
5,3,1,2,retrain,0.9767777709967663
5,3,1,2,clip,1.120376427001606
5,3,1,4,retrain,0.6051305644804386
5,3,1,4,clip,1.0364146379019101
5,3,1,8,retrain,0.27924867839844775
5,3,1,8,clip,0.6735077136339165
5,3,1,12,retrain,0.2749690357104207
5,3,1,12,clip,0.549815321487805
5,3,1,16,retrain,0.491615128718333
5,3,1,16,clip,0.491615128718333
5,3,2,2,retrain,1.0200748128067723
5,3,2,2,clip,1.0882814367429177
5,3,2,4,retrain,0.5843300368510194
5,3,2,4,clip,1.0543260421046612
5,3,2,8,retrain,0.2900821850504447
5,3,2,8,clip,0.707956269871491
5,3,2,12,retrain,0.29568153502526506
5,3,2,12,clip,0.5896513498128263
5,3,2,16,retrain,0.5310015321932402
5,3,2,16,clip,0.5310015321932402
6,0,0,2,retrain,0.9231331318507764
6,0,0,2,clip,1.0329742860610482
