idx,k0,M,response_err
41,0,4,0.6878446003696069
41,0,8,0.5625352936521023
41,0,12,0.5187842219067593
41,0,16,0.487246234328307
42,2,2,1.0277258546126782
42,2,4,0.9142744333199581
42,2,8,0.6241909412891425
42,2,12,0.5426244174776944
42,2,16,0.4992667377875021
43,1,2,1.0232516805477372
43,1,4,0.9012327325057903
43,1,8,0.718037112673921
43,1,12,0.6715247352451192
43,1,16,0.6334615610407188
44,-4,2,1.0909157542919892
44,-4,4,1.0460877578782715
44,-4,8,0.6379126809223425
44,-4,12,0.46944866388094636
44,-4,16,0.40121089691592404
45,4,2,1.1001052114812908
45,4,4,1.0356331979084894
45,4,8,0.6161702018016174
45,4,12,0.4541724312064804
45,4,16,0.3872957133290009
46,1,2,1.0664286411622248
46,1,4,0.9146350612339424
46,1,8,0.7162982542167746
46,1,12,0.6614060821817479
46,1,16,0.6238772708251861
47,-3,2,1.0880399791704436
47,-3,4,0.9657478591340543
47,-3,8,0.6298784934417414
47,-3,12,0.5480259739160115
47,-3,16,0.5108507746172272
48,-4,2,1.0813309714147454
48,-4,4,1.051121009103037
48,-4,8,0.6417478616182007
48,-4,12,0.4924835846826764
48,-4,16,0.4233842352420851
49,0,2,0.8867491309798435
49,0,4,0.6784680983660296
49,0,8,0.4893245138597262
49,0,12,0.44375746479027245
49,0,16,0.41647353861202285
50,-1,2,1.024241832002331
50,-1,4,0.9273710633441687
50,-1,8,0.7877467458375429
50,-1,12,0.7420190552641415
50,-1,16,0.698949596455365
51,0,2,0.8912098041748845
51,0,4,0.7057206744185273
51,0,8,0.5393725461458624
51,0,12,0.5068439953544587
51,0,16,0.47482949495043797
52,4,2,1.0926446053346113
52,4,4,1.0285590093803298
52,4,8,0.6886139668725803
52,4,12,0.5587410182931426
52,4,16,0.500452457436421
53,0,2,0.9276639250792114
53,0,4,0.7352832335100857
53,0,8,0.5274638406591339
53,0,12,0.4616569993448046
53,0,16,0.42994849224373427
54,4,2,1.1125347753995078
54,4,4,1.0457023952910716
54,4,8,0.640648733501542
54,4,12,0.5085116221284904
54,4,16,0.4632479406792144
55,-1,2,0.9646332218355872
55,-1,4,0.8576378490085294
55,-1,8,0.6134292488769724
55,-1,12,0.5509147057563528
55,-1,16,0.5149765941619237
56,3,2,1.108943322749378
56,3,4,1.0160925682084636
56,3,8,0.6415032209274002
56,3,12,0.535303416804989
56,3,16,0.491610811641071
57,-3,2,1.0817576382243173
57,-3,4,1.0085528585190793
57,-3,8,0.6790022053141802
57,-3,12,0.5826181905445954
57,-3,16,0.5301939505352926
58,4,2,1.1277746274258986
58,4,4,1.0802620566742578
58,4,8,0.713167830536121
58,4,12,0.5877132630056225
58,4,16,0.5250851757894722
59,1,2,1.0445843729449078
59,1,4,0.9419510783032752
59,1,8,0.7802531982813127
59,1,12,0.7257828045798546
59,1,16,0.6873124903819215
60,4,2,1.062624811980727
60,4,4,1.0483395323367817
60,4,8,0.6450693706194385
60,4,12,0.5104782388078345
60,4,16,0.45918254854785506
61,3,2,1.0085269248847735
61,3,4,0.914440702481584
61,3,8,0.5807536371568914
61,3,12,0.4784744339655626
61,3,16,0.4223585671739832
62,-1,2,0.9879909471264308
62,-1,4,0.8502121698189237
62,-1,8,0.67027125525419
62,-1,12,0.6145220805960245
62,-1,16,0.5799882693834013
63,2,2,1.0002614595079664
63,2,4,0.882356063460362
63,2,8,0.6704647218812696
63,2,12,0.6016768471215214
63,2,16,0.5666571522245115
64,1,2,1.0650257880628127
64,1,4,0.9507525038574672
64,1,8,0.7744904887584771
64,1,12,0.7272301083153467
64,1,16,0.6862672367436867
65,4,2,1.0769153035106094
65,4,4,1.0259146555092074
65,4,8,0.6385470986849218
65,4,12,0.47056098282616293
65,4,16,0.39869585319807643
66,0,2,0.9964664670186112
66,0,4,0.7737452450956416
66,0,8,0.5500966607676333
66,0,12,0.4756628222525572
66,0,16,0.44065807839563714
67,3,2,1.038488891226275
67,3,4,0.9443952814702425
67,3,8,0.6164223092929083
67,3,12,0.5257695709483081
67,3,16,0.4899903926694918
68,-1,2,0.9871610192324514
68,-1,4,0.8950134793646717
68,-1,8,0.7508530849400455
68,-1,12,0.6986406221245357
68,-1,16,0.6554457938713018
69,1,2,1.1201863998381194
69,1,4,0.964205391171248
69,1,8,0.6673611837209691
69,1,12,0.5802230972585378
69,1,16,0.5310258875790755
70,-2,2,1.0153834514364843
70,-2,4,0.8508367536670913
70,-2,8,0.5891852339846977
70,-2,12,0.5296537770826939
70,-2,16,0.49746039913730355
71,-4,2,1.0848573509869839
71,-4,4,1.0258407506801033
71,-4,8,0.689558977210093
71,-4,12,0.55164799176628
71,-4,16,0.4740007782009798
72,0,2,0.9976514072612125
72,0,4,0.7809742327990329
72,0,8,0.5988179313686023
72,0,12,0.5610387784476193
72,0,16,0.5251686054239202
73,3,2,1.042482340645874
73,3,4,0.9763669579103755
73,3,8,0.6603100032199092
73,3,12,0.5758162924442307
73,3,16,0.5306503037356782
74,1,2,0.8711167657184135
74,1,4,0.6811034284784542
74,1,8,0.521127445217211
74,1,12,0.4827665708682126
74,1,16,0.4531015477702735
75,3,2,1.0508559355247824
75,3,4,0.9700258175123005
75,3,8,0.6366449902839788
75,3,12,0.5201377143642238
75,3,16,0.47054521811829325
76,4,2,1.0968611442247742
76,4,4,1.0249654954496035
76,4,8,0.6525293962661155
76,4,12,0.516210602765738
76,4,16,0.44798158592950876
77,-3,2,1.061165500609526
77,-3,4,0.9884174432980594
77,-3,8,0.6254032730039736
77,-3,12,0.5259258966651661
77,-3,16,0.48624973594828425
78,-4,2,1.1050268592159393
78,-4,4,1.0329652951160997
78,-4,8,0.7010904214089119
78,-4,12,0.553200827136508
78,-4,16,0.47246384418399373
79,4,2,1.1145784102284
79,4,4,1.0510523396766607
79,4,8,0.5936620540109777
79,4,12,0.44409309799467717
79,4,16,0.3734766914388613
80,-4,2,1.0868055748464613
80,-4,4,0.9981163423923318
80,-4,8,0.5838875025539381
80,-4,12,0.4403442364265552
80,-4,16,0.39568640825023493
81,-4,2,1.1262701018961525
81,-4,4,1.1014177203095306
81,-4,8,0.6678611727223195
81,-4,12,0.5172566862206756
81,-4,16,0.4392838562680083
82,0,2,0.924852517725072
82,0,4,0.783918150819138
82,0,8,0.6295245762069492
82,0,12,0.5789417117647686
82,0,16,0.5427158918773198
83,3,2,1.1224647093236364
83,3,4,1.0542700840481316
83,3,8,0.7236589266378265
83,3,12,0.641575696417618
83,3,16,0.5812194359826827
84,1,2,1.0137080879248002
84,1,4,0.8606723761378791
84,1,8,0.6793038314123645
84,1,12,0.6177686823483166
84,1,16,0.5802615114375631
85,-3,2,1.1170559342886943
85,-3,4,1.0283770361544278
85,-3,8,0.6687589544941068
85,-3,12,0.5519001596731811
85,-3,16,0.49841534325581305
86,3,2,1.0726924798333046
86,3,4,0.9732861659959388
86,3,8,0.6381042101568721
86,3,12,0.5631666928084662
86,3,16,0.5223262521857931
87,4,2,1.1190031839073042
87,4,4,1.0775402682597781
87,4,8,0.5989657845830704
87,4,12,0.42298423111069117
87,4,16,0.37060227016621544
88,-4,2,1.1101943305635114
88,-4,4,1.065405429410621
88,-4,8,0.6736327378774168
