M,seed,idx,k0,response_err
12,1,86,3,0.21385087611011708
12,1,87,4,0.22826566862857808
12,1,88,-4,0.2557905372745102
12,1,89,3,0.21143569142105367
12,1,90,-3,0.1749321126660841
12,1,91,-2,0.23438487369536992
12,1,92,4,0.22388751212753213
12,1,93,-3,0.22467212055408461
12,1,94,3,0.1536997428510856
12,1,95,3,0.20168293754359895
12,1,96,-4,0.23392695441550085
12,1,97,3,0.19883239441124867
12,1,98,1,0.1565903883717122
12,1,99,0,0.20414010683163764
12,1,100,3,0.192998299666023
12,1,101,3,0.19818592944529015
12,1,102,3,0.20395516718242074
12,1,103,4,0.28629927504653874
12,1,104,1,0.19005959144014883
12,1,105,4,0.2700331105734401
12,1,106,4,0.2834314183893905
12,1,107,3,0.19672030060516266
12,1,108,-1,0.21470828089702698
12,1,109,-1,0.2608178296321112
12,1,110,1,0.1949944391598603
12,1,111,3,0.17984602013114048
12,1,112,-4,0.29084106654809594
12,1,113,4,0.2528839573040673
12,1,114,2,0.19548806437452684
12,1,115,0,0.10066282916184983
12,1,116,3,0.1994055521194172
12,1,117,0,0.1752126841590364
12,1,118,0,0.11665032191810862
12,1,119,-3,0.18168936670809033
12,1,120,1,0.21240662913211839
12,1,121,-1,0.19632787754719563
12,1,122,1,0.26391580373694995
12,1,123,3,0.17992578618664606
12,1,124,4,0.25251212374330906
12,1,125,-1,0.2207545390934943
12,1,126,-2,0.17594300301815277
12,1,127,4,0.26004698324218445
12,1,128,-3,0.21211612500048369
12,1,129,2,0.17869775306134297
12,1,130,-3,0.19724328062415347
12,1,131,-1,0.1849598351608033
12,1,132,-2,0.18921878348577378
12,1,133,3,0.22605559773113496
12,1,134,-1,0.18193506201293844
12,1,135,0,0.1858337588621634
12,1,136,3,0.18673611733252882
12,1,137,-1,0.14677035315454784
12,1,138,-1,0.15296142374944585
12,1,139,-2,0.16948077609474121
12,1,140,0,0.14113697039795495
12,1,141,-3,0.22067115246709415
12,1,142,-3,0.20999207457616983
12,1,143,-4,0.2622835351973742
12,1,144,1,0.2340474518829454
12,1,145,-1,0.18376012764072736
12,1,146,0,0.23208072677579739
12,1,147,-1,0.20021590870313907
12,1,148,-2,0.158973276339492
12,1,149,0,0.14569432911801952
12,1,150,-1,0.20699013443993067
12,1,151,-1,0.23179613159110968
12,1,152,1,0.21470627632392053
12,1,153,1,0.18343328637708425
12,1,154,-1,0.21945731547966962
12,1,155,0,0.1557291001942303
12,1,156,-1,0.18117550835689286
12,1,157,2,0.21263894870832675
12,1,158,3,0.20983937230428945
12,1,159,2,0.1937619870152675
12,1,160,4,0.22885570101582708
12,1,161,2,0.24112755853957538
12,1,162,2,0.1943634135692411
12,1,163,2,0.25043619159767305
12,1,164,1,0.2619758241444489
12,1,165,3,0.19635472528252454
12,1,166,-4,0.3167536540174252
12,1,167,3,0.180674859239579
12,1,168,-4,0.22260384113089682
12,1,169,-4,0.19637460938634432
12,1,170,2,0.3146266699496922
12,1,171,-4,0.2587847177246224
12,1,172,-4,0.2629372969506322
12,1,173,3,0.24267064385393475
12,1,174,3,0.20972062871619634
12,1,175,2,0.1507045065928536
12,1,176,-2,0.22340041986356748
12,1,177,-4,0.22121895836773403
12,1,178,4,0.2362219434313628
12,1,179,2,0.16571753974865355
12,1,180,4,0.2129823078615604
12,1,181,1,0.22474974670521383
12,1,182,3,0.2585098626666168
12,1,183,0,0.1785613194676398
12,1,184,-2,0.22122001465487454
12,1,185,1,0.29680682320135005
12,1,186,-3,0.28973395639961896
12,1,187,-1,0.1934849598790471
12,1,188,0,0.17275352659769672
12,1,189,3,0.23118557461964542
12,1,190,3,0.21580568502958883
12,1,191,3,0.20499368272905874
12,1,192,-1,0.21787246148735756
12,1,193,3,0.20442310935685043
12,1,194,4,0.2771715468163692
12,1,195,4,0.25990036804853683
12,1,196,-2,0.19925724701168465
12,1,197,2,0.17632732535159168
12,1,198,-2,0.1898080124262224
12,1,199,-1,0.18411238462682475
12,2,0,4,0.2699384510171582
12,2,1,2,0.13740900480189588
12,2,2,-3,0.27380224309603757
12,2,3,-2,0.14114838923408005
12,2,4,-3,0.20625347036575814
12,2,5,3,0.28639733052779975
12,2,6,0,0.15850567634987947
12,2,7,4,0.2735769895058465
12,2,8,-4,0.25495631909924904
12,2,9,3,0.23092544126646186
12,2,10,0,0.1700668059945802
12,2,11,-2,0.2200708732179197
12,2,12,4,0.3627742029595593
12,2,13,0,0.21466444064757817
12,2,14,-1,0.19641685392796132
12,2,15,0,0.20989950030118126
12,2,16,1,0.23742035373532627
12,2,17,-1,0.11991690247479075
12,2,18,-2,0.27744966229102214
12,2,19,-4,0.32664933502601257
12,2,20,-3,0.16622630180088233
12,2,21,2,0.21090546989210426
12,2,22,1,0.19924083825313768
12,2,23,1,0.22546710752830956
12,2,24,0,0.1661356107582287
12,2,25,3,0.25169537707355644
12,2,26,3,0.2885385718155106
12,2,27,1,0.1915346738553158
12,2,28,3,0.28297272672493295
12,2,29,3,0.21326487210083223
12,2,30,0,0.31135727239326216
12,2,31,2,0.2634747401142044
12,2,32,-2,0.19564671658262198
12,2,33,4,0.259057009619989
12,2,34,4,0.2675649060786972
12,2,35,2,0.2535505622689313
12,2,36,-2,0.1451186316840125
12,2,37,1,0.22019612888054513
12,2,38,-2,0.22974187465206364
12,2,39,4,0.2971655144179973
12,2,40,0,0.24101906628112751
12,2,41,0,0.20567742699112562
12,2,42,2,0.2464769807784392
12,2,43,1,0.1732657269889132
12,2,44,-4,0.2545489648365133
12,2,45,4,0.22329812084359849
12,2,46,1,0.15282491223002537
12,2,47,-3,0.1591488945028301
12,2,48,-4,0.3322485638400866
12,2,49,0,0.30416866934442255
12,2,50,-1,0.1555647302562261
12,2,51,0,0.18226362150881367
12,2,52,4,0.3686361583680356
12,2,53,0,0.23855733094861856
12,2,54,4,0.20631486431507906
12,2,55,-1,0.17861080937729282
12,2,56,3,0.2169838766032533
12,2,57,-3,0.27813009273768147
