M,seed,idx,k0,response_err
12,3,153,1,0.18994079070888692
12,3,154,-1,0.1910098445319612
12,3,155,0,0.125153862210596
12,3,156,-1,0.17682603159815197
12,3,157,2,0.2146502163364898
12,3,158,3,0.19112486557116667
12,3,159,2,0.20511698293828132
12,3,160,4,0.22291858183733096
12,3,161,2,0.17357159196337027
12,3,162,2,0.18934137146137595
12,3,163,2,0.21338401893719952
12,3,164,1,0.24654675367537607
12,3,165,3,0.20152821455524306
12,3,166,-4,0.3279080055469037
12,3,167,3,0.19289112716965398
12,3,168,-4,0.2165045903967641
12,3,169,-4,0.20635405254328568
12,3,170,2,0.2541244324282973
12,3,171,-4,0.25243052241660685
12,3,172,-4,0.2543961769981574
12,3,173,3,0.21094835298859746
12,3,174,3,0.20609648083441143
12,3,175,2,0.17489320238619446
12,3,176,-2,0.2232002131552662
12,3,177,-4,0.2203251052980682
12,3,178,4,0.228679457665684
12,3,179,2,0.19407014710929082
12,3,180,4,0.20099131950673355
12,3,181,1,0.21013249838270398
12,3,182,3,0.27067268422683566
12,3,183,0,0.1474773780332916
12,3,184,-2,0.22775686716880564
12,3,185,1,0.2512586249947303
12,3,186,-3,0.30505468894380283
12,3,187,-1,0.2152930277758658
12,3,188,0,0.12277160122889749
12,3,189,3,0.24171356347383643
12,3,190,3,0.22564097108234465
12,3,191,3,0.19421651938230503
12,3,192,-1,0.19711549575086612
12,3,193,3,0.21495585622611532
12,3,194,4,0.27735729510521046
12,3,195,4,0.2521818728472624
12,3,196,-2,0.20139914919433485
12,3,197,2,0.1615074960976083
12,3,198,-2,0.2036485495405493
12,3,199,-1,0.221144464362493
16,0,0,4,0.38618421259071256
16,0,1,2,0.626454080833869
