idx,k0,response_err,num,den,seconds
131,-1,0.5676289645044011,0.30258966866213927,0.5330765122712358,0.191
132,-2,0.5839836335810468,0.3124879551723748,0.5350971109518379,0.188
133,3,0.5670477296104913,0.2974229578998638,0.5245113283570776,0.184
134,-1,0.6359706912280837,0.33979123016958634,0.5342875620784293,0.187
135,0,0.42067276645732093,0.22515504912242973,0.5352261117793863,0.186
136,3,0.5118063355819964,0.26792738737561717,0.5234936903837771,0.188
137,-1,0.5118519776898646,0.2727745889706061,0.5329169386073614,0.230
138,-1,0.5460936667222435,0.2931478560869428,0.5368087453686676,0.199
139,-2,0.4839064857241183,0.26128503794792257,0.5399494440685896,0.184
140,0,0.48850560263633186,0.2604885537438853,0.5332355500901104,0.189
141,-3,0.5406184479251749,0.2834394138333866,0.5242873507576206,0.183
142,-3,0.5055273870319883,0.26047514192562726,0.5152542643731093,0.190
143,-4,0.42372521166584837,0.20987555093678695,0.4953105105822586,0.207
144,1,0.489186759090584,0.2597984516192451,0.5310823459372037,0.239
145,-1,0.5634998374971647,0.30124403880385603,0.534594721698339,0.192
146,0,0.43199712581810307,0.2315256788478002,0.5359426371398742,0.187
147,-1,0.43821735030775366,0.2329131244971291,0.5315013755926313,0.244
148,-2,0.5474688346243979,0.296538604942878,0.5416538553218729,0.194
149,0,0.47878906931090615,0.2558246678010372,0.5343160155456996,0.192
150,-1,0.6187619762252541,0.33128331723978033,0.535397018512301,0.189
151,-1,0.5405870408627679,0.2870125102992485,0.5309274707014459,0.186
152,1,0.6750008931675331,0.36116636904061566,0.5350605794694486,0.188
153,1,0.5702796806286129,0.30455627911205463,0.5340472218409494,0.187
154,-1,0.6829302247083376,0.3661890466139834,0.5362027237414679,0.189
155,0,0.5630438691920427,0.29928426909463995,0.5315469814529855,0.188
156,-1,0.5984155662081251,0.32087807532405055,0.5362127816248202,0.192
157,2,0.6116401821866326,0.3211371350092321,0.5250425730061699,0.187
158,3,0.5573036899544209,0.29585487292570406,0.5308683187615365,0.187
159,2,0.551593983816414,0.2886332252616946,0.5232711627213104,0.188
160,4,0.4388725506684392,0.2231392225252584,0.5084374089593867,0.185
161,2,0.5891605111053624,0.3168178169885187,0.5377444873114733,0.188
162,2,0.5632610387230798,0.29558820638835515,0.524780139344375,0.190
163,2,0.4155676267423687,0.2186978228319255,0.5262628962373609,0.189
164,1,0.6924093180626769,0.3704074193677209,0.5349544116536451,0.188
165,3,0.47089254576244155,0.2446399743219337,0.5195239901829982,0.186
166,-4,0.39810712045737506,0.1914626531465953,0.4809325010982691,0.196
167,3,0.5342830635047835,0.28386990438217796,0.5313099436842554,0.363
168,-4,0.40280158646475406,0.20147676831761982,0.5001886166484835,0.200
169,-4,0.3628843915452837,0.18519221585994977,0.510333925003881,0.193
170,2,0.658952549387405,0.34850469089078484,0.5288767623932438,0.187
171,-4,0.4206974504144871,0.21023904033878943,0.49973927850443106,0.188
172,-4,0.4554481992583072,0.22735251301901044,0.49918412980719146,0.193
173,3,0.5458081957921475,0.28115406312047114,0.5151151362108515,0.196
174,3,0.524128287035983,0.2763435819378442,0.5272441666917175,0.200
175,2,0.5544798972548198,0.2998385196881616,0.5407563397205836,0.189
176,-2,0.6238761351221377,0.32947503204435713,0.5281096895617831,0.188
177,-4,0.3672841189310682,0.1854315711705839,0.50487228173725,0.187
178,4,0.40032748827180653,0.19880072655464728,0.49659524359134055,0.178
179,2,0.5681484910348663,0.3035053381559058,0.534200729114108,0.179
180,4,0.3885488593225971,0.19548564234878857,0.5031172725345319,0.188
181,1,0.6920198718575458,0.369808965329146,0.5343906734014601,0.187
182,3,0.5664627486934891,0.3018353345892776,0.5328423365621868,0.187
183,0,0.571825835571674,0.30580161464893263,0.5347810393058093,0.187
184,-2,0.5151256897990568,0.27476060241384137,0.5333855559038835,0.187
185,1,0.5892991940196721,0.3130466102326627,0.5312184598409828,0.187
186,-3,0.5517116590361744,0.29226178388130036,0.529736464862595,0.187
187,-1,0.6111267105747937,0.325688824079799,0.5329317446679317,0.189
188,0,0.48342849985806424,0.258001071756106,0.5336902392636258,0.188
189,3,0.5105264419014051,0.2591758888418372,0.5076639867595542,0.187
190,3,0.5211004196193909,0.26831108753895017,0.5148932478982136,0.186
191,3,0.5010096514407291,0.2597161804596712,0.518385583417042,0.188
192,-1,0.4998643232374057,0.26402067375935223,0.5281846722914814,0.188
193,3,0.4463530334581517,0.23253139800474162,0.5209584803382833,0.189
194,4,0.42055124074320444,0.20807826929652262,0.49477506933234483,0.187
195,4,0.442829109988275,0.21919613511048122,0.4949903476677154,0.188
196,-2,0.564491821071708,0.3002853280778241,0.5319569157046804,0.188
197,2,0.4296107517430722,0.22862408232202425,0.5321656438867536,0.193
198,-2,0.5434263795080091,0.28613751193999554,0.5265432866896341,0.189
199,-1,0.6508786048232472,0.3459881508393299,0.5315709385366669,0.185
